time,in or out
8:41:29,Out
8:41:29,Out
8:41:29,In
8:41:29,Out
8:41:29,In
8:41:30,Out
8:41:31,In
8:41:32,Out
8:41:33,In
8:41:33,Out
8:41:34,Out
8:41:34,In
8:41:34,In
8:41:34,Out
8:41:35,In
8:41:35,In
8:41:35,In
8:41:35,In
8:41:35,Out
8:41:36,In
8:41:36,Out
8:41:36,In
8:41:36,Out
8:41:38,Out
8:41:40,Out
8:41:41,Out
8:41:41,Out
8:41:41,Out
8:41:42,In
8:41:43,In
8:41:43,Out
8:41:44,In
8:41:44,In
8:41:45,Out
8:41:45,Out
8:41:46,Out
8:41:46,In
8:41:47,In
8:41:47,In
8:41:47,In
8:41:47,In
8:41:49,Out
8:41:49,Out
8:41:50,In
8:41:51,In
8:41:53,Out
8:41:53,Out
8:41:55,Out
8:41:56,In
8:41:57,In
8:41:58,Out
8:41:58,In
8:41:58,In
8:41:58,Out
8:41:58,In
8:41:58,Out
8:41:59,In
8:41:59,In
8:41:59,In
8:42:02,Out
8:42:02,Out
8:42:02,In
8:42:02,In
8:42:02,Out
8:42:03,In
8:42:03,In
8:42:03,In
8:42:05,Out
8:42:08,In
8:42:08,Out
8:42:09,Out
8:42:09,Out
8:42:09,In
8:42:10,In
8:42:10,In
8:42:10,Out
8:42:11,Out
8:42:12,Out
8:42:13,Out
8:42:13,Out
8:42:13,Out
8:42:13,Out
8:42:16,In
8:42:16,In
8:42:17,In
8:42:18,In
8:42:18,In
8:42:19,Out
8:42:21,Out
8:42:21,In
8:42:22,Out
8:42:22,In
8:42:22,Out
8:42:23,In
8:42:24,In
8:42:27,In
8:42:29,In
8:42:29,In
8:42:29,In
8:42:29,In
8:42:30,In
8:42:30,Out
8:42:31,Out
8:42:32,In
8:42:32,In
8:42:38,In
8:42:38,In
8:42:39,In
8:42:42,In
8:42:43,In
8:42:44,In
8:42:44,In
8:42:46,Out
8:42:47,Out
8:42:52,Out
8:42:55,In
8:42:55,Out
8:42:56,Out
8:43:00,Out
8:43:01,In
8:43:01,Out
8:43:01,Out
8:43:01,Out
8:43:01,In
8:43:02,Out
8:43:02,In
8:43:02,In
8:43:02,In
8:43:02,In
8:43:03,In
8:43:04,In
8:43:04,In
8:43:05,Out
8:43:05,In
8:43:05,Out
8:43:06,In
8:43:07,In
8:43:09,Out
8:43:09,In
8:43:10,Out
8:43:12,Out
8:43:14,Out
8:43:16,In
8:43:17,In
8:43:17,Out
8:43:18,Out
8:43:18,Out
8:43:18,In
8:43:19,Out
8:43:19,In
8:43:20,Out
8:43:20,Out
8:43:20,In
8:43:20,Out
8:43:21,In
8:43:21,In
8:43:21,In
8:43:21,Out
8:43:22,In
8:43:22,Out
8:43:23,Out
8:43:24,In
8:43:26,In
8:43:26,Out
8:43:30,In
8:43:31,Out
8:43:32,Out
8:43:32,In
8:43:32,In
8:43:37,Out
8:43:37,Out
8:43:38,In
8:43:41,Out
8:43:41,Out
8:43:42,In
8:43:42,Out
8:43:43,In
8:43:45,Out
8:43:45,In
8:43:46,Out
8:43:46,Out
