time,in or out
8:12:28,In
8:12:28,In
8:12:28,Out
8:12:28,Out
8:12:28,Out
8:12:29,Out
8:12:29,Out
8:12:29,Out
8:12:30,Out
8:12:30,Out
8:12:30,Out
8:12:31,Out
8:12:31,Out
8:12:31,Out
8:12:32,Out
8:12:32,Out
8:12:32,Out
8:12:33,In
8:12:33,Out
8:12:33,In
8:12:33,Out
8:12:34,Out
8:12:34,Out
8:12:34,In
8:12:35,Out
8:12:36,Out
8:12:38,Out
8:12:38,Out
8:12:40,Out
8:12:40,Out
8:12:41,Out
8:12:42,Out
8:12:42,Out
8:12:42,Out
8:12:43,Out
8:12:43,Out
8:12:43,Out
8:12:44,Out
8:12:45,Out
8:12:45,Out
8:12:47,Out
8:12:47,Out
8:12:48,Out
8:12:49,Out
8:12:49,Out
8:12:52,Out
8:12:52,Out
8:12:53,Out
8:12:53,Out
8:12:53,Out
8:12:55,Out
8:12:55,Out
8:12:58,Out
8:12:59,Out
8:12:59,Out
8:12:59,Out
8:13:00,Out
8:13:00,Out
8:13:00,Out
8:13:01,Out
8:13:01,Out
8:13:01,Out
8:13:01,Out
8:13:02,In
8:13:02,Out
8:13:02,Out
8:13:02,Out
8:13:03,Out
8:13:03,Out
8:13:04,In
8:13:04,In
8:13:05,Out
8:13:05,Out
8:13:06,Out
8:13:06,Out
8:13:06,Out
8:13:09,Out
8:13:09,In
8:13:09,Out
8:13:09,In
8:13:10,Out
8:13:10,Out
8:13:10,Out
8:13:11,Out
8:13:12,Out
8:13:14,In
8:13:14,Out
8:13:14,In
8:13:15,Out
8:13:16,Out
8:13:16,Out
8:13:16,Out
8:13:17,Out
8:13:17,Out
8:13:17,In
8:13:17,Out
8:13:17,Out
8:13:17,Out
8:13:18,Out
8:13:18,In
8:13:18,Out
8:13:18,Out
8:13:19,Out
8:13:20,Out
8:13:20,Out
8:13:21,Out
8:13:23,Out
8:13:26,Out
8:13:27,Out
8:13:27,Out
8:13:28,Out
8:13:28,Out
8:13:29,Out
8:13:29,Out
8:13:30,Out
8:13:31,Out
8:13:32,Out
8:13:32,Out
8:13:34,Out
8:13:35,Out
8:13:35,Out
8:13:35,Out
8:13:37,Out
8:13:38,Out
8:13:39,Out
8:13:41,Out
8:13:41,Out
8:13:43,Out
8:13:44,Out
8:13:44,Out
8:13:45,Out
8:13:47,Out
8:13:48,Out
8:13:48,Out
8:13:48,Out
8:13:49,Out
8:13:49,Out
8:13:49,Out
8:13:49,Out
8:13:49,In
8:13:50,Out
8:13:50,Out
8:13:50,Out
8:13:50,Out
8:13:50,In
8:13:51,Out
8:13:51,Out
8:13:53,Out
8:13:53,Out
8:13:54,Out
8:13:54,Out
8:13:55,Out
8:13:55,In
8:13:56,Out
8:13:56,Out
8:13:56,Out
8:13:58,Out
8:13:59,In
8:13:59,Out
8:14:00,Out
8:14:00,Out
8:14:01,Out
8:14:02,In
8:14:03,In
8:14:03,In
8:14:03,Out
8:14:04,Out
8:14:04,Out
8:14:04,In
8:14:05,Out
8:14:05,Out
8:14:05,Out
8:14:09,Out
8:14:10,Out
8:14:10,Out
8:14:12,Out
8:14:15,Out
8:14:17,Out
8:14:18,Out
8:14:18,Out
8:14:19,Out
8:14:19,Out
8:14:20,Out
8:14:21,Out
8:14:21,Out
8:14:24,Out
8:14:26,Out
8:14:26,Out
8:14:26,Out
8:14:27,Out
8:14:28,In
8:14:28,In
8:14:28,Out
8:14:28,Out
8:14:28,Out
8:14:28,Out
8:14:29,Out
8:14:29,Out
8:14:29,Out
8:14:29,Out
8:14:30,Out
8:14:30,Out
8:14:30,Out
8:14:30,Out
8:14:31,Out
8:14:34,Out
8:14:34,In
8:14:35,Out
8:14:35,Out
8:14:36,Out
8:14:36,Out
8:14:37,Out
8:14:37,Out
8:14:37,Out
8:14:39,Out
8:14:39,In
8:14:39,In
8:14:39,In
8:14:42,Out
8:14:43,Out
8:14:43,Out
8:14:44,Out
8:14:44,Out
8:14:44,Out
8:14:44,Out
8:14:46,Out
8:14:47,Out
8:14:47,Out
8:14:48,Out
8:14:50,Out
8:14:50,Out
8:14:51,Out
8:14:51,In
8:14:51,Out
8:14:51,Out
8:14:52,In
8:14:52,In
8:14:52,In
8:14:52,Out
8:14:52,Out
8:14:52,Out
8:14:53,Out
8:14:53,Out
8:14:53,Out
8:14:54,Out
8:14:56,Out
8:14:56,In
8:14:56,In
8:14:58,Out
8:14:58,Out
8:14:58,Out
8:14:59,In
8:14:59,In
8:15:00,In
8:15:00,Out
8:15:00,Out
8:15:01,Out
8:15:01,Out
8:15:01,Out
8:15:02,Out
8:15:03,Out
8:15:03,Out
8:15:06,Out
8:15:06,Out
8:15:07,Out
8:15:08,Out
8:15:08,Out
8:15:08,In
8:15:08,Out
8:15:08,Out
8:15:09,Out
8:15:09,Out
8:15:09,Out
8:15:09,In
8:15:10,Out
8:15:10,In
8:15:10,Out
8:15:10,In
8:15:10,Out
8:15:12,Out
8:15:13,Out
8:15:14,Out
8:15:14,Out
8:15:14,Out
8:15:14,Out
8:15:14,Out
8:15:15,Out
8:15:15,Out
8:15:15,In
8:15:16,Out
8:15:16,Out
8:15:16,In
8:15:17,In
8:15:18,In
8:15:18,In
8:15:19,In
8:15:19,Out
8:15:19,In
8:15:19,In
8:15:20,Out
8:15:20,Out
8:15:21,Out
8:15:21,Out
8:15:21,Out
8:15:22,Out
8:15:22,Out
8:15:23,Out
8:15:23,Out
8:15:23,Out
8:15:23,Out
8:15:23,Out
8:15:24,Out
8:15:26,Out
8:15:26,Out
8:15:28,Out
8:15:29,In
8:15:29,Out
8:15:31,Out
8:15:32,Out
8:15:32,Out
8:15:35,Out
8:15:35,Out
8:15:36,Out
8:15:36,Out
8:15:38,Out
8:15:38,Out
8:15:38,Out
8:15:38,Out
8:15:41,Out
8:15:41,Out
8:15:41,Out
8:15:42,In
8:15:42,Out
8:15:42,Out
8:15:43,Out
8:15:44,Out
8:15:46,Out
8:15:47,Out
8:15:47,Out
8:15:47,Out
8:15:48,Out
8:15:48,Out
8:15:48,Out
8:15:49,Out
8:15:50,Out
8:15:50,Out
8:15:51,Out
8:15:51,Out
8:15:51,Out
8:15:51,Out
8:15:52,Out
8:15:52,Out
8:15:52,Out
